,,,,,,Difference,,,,Distance,,,
sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target,,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),Sum,,Maximum ,
5.1,3.5,1.4,0.2,0,,0.01,0,0.36,0.64,1.01,,K = 1,0.77
4.9,3,1.4,0.2,0,,0.01,0.25,0.36,0.64,1.26,,K = 3,"0.77, 0.85, 0.9"
4.7,3.2,1.3,0.2,0,,0.09,0.09,0.49,0.64,1.31,,K = 5,"0.77, 0.85, 0.9, 1.01, 1.01"
4.6,3.1,1.5,0.2,0,,0.16,0.16,0.25,0.64,1.21,,K = 7,"0.77, 0.85, 0.9, 1.01, 1.01, 1.02, 1.09"
5,3.6,1.4,0.2,0,,0,0.01,0.36,0.64,1.01,,,
5.4,3.9,1.7,0.4,0,,0.16,0.16,0.09,0.36,0.77,,Prediction,
4.6,3.4,1.4,0.3,0,,0.16,0.01,0.36,0.49,1.02,,K = 1,0
5,3.4,1.5,0.2,0,,0,0.01,0.25,0.64,0.9,,K = 3,0
4.4,2.9,1.4,0.2,0,,0.36,0.36,0.36,0.64,1.72,,K = 5,0
4.9,3.1,1.5,0.1,0,,0.01,0.16,0.25,0.81,1.23,,K = 7,0
5.4,3.7,1.5,0.2,0,,0.16,0.04,0.25,0.64,1.09,,,
4.8,3.4,1.6,0.2,0,,0.04,0.01,0.16,0.64,0.85,,,
7,3.2,4.7,1.4,1,,4,0.09,7.29,0.16,11.54,,,
6.4,3.2,4.5,1.5,1,,1.96,0.09,6.25,0.25,8.55,,,
6.9,3.1,4.9,1.5,1,,3.61,0.16,8.41,0.25,12.43,,,
5.5,2.3,4,1.3,1,,0.25,1.44,4,0.09,5.78,,,
6.5,2.8,4.6,1.5,1,,2.25,0.49,6.76,0.25,9.75,,,
5.7,2.8,4.5,1.3,1,,0.49,0.49,6.25,0.09,7.32,,,
6.3,3.3,4.7,1.6,1,,1.69,0.04,7.29,0.36,9.38,,,
4.9,2.4,3.3,1,1,,0.01,1.21,1.69,0,2.91,,,
5,3.5,2,1,?,,,,,,,,,